Time North East
11:25:01 4734102.623 268293.463
11:25:03 4734099.539 268297.937
11:25:05 4734099.486 268300.417
11:25:07 4734096.612 268302.324
11:25:09 4734096.172 268304.404
11:25:11 4734092.767 268306.476
11:25:13 4734092.541 268309.520
11:25:15 4734093.535 268311.192
11:25:17 4734089.594 268310.855
11:25:19 4734089.230 268313.416
11:25:21 4734086.483 268315.214
11:25:23 4734085.941 268315.719
11:25:25 4734086.576 268317.949
11:25:27 4734086.481 268318.037
11:25:29 4734083.521 268317.870
11:25:31 4734083.359 268319.936
11:25:33 4734083.092 268319.631
11:25:35 4734082.664 268320.414
11:25:37 4734083.755 268320.109
11:25:39 4734080.140 268322.014
11:25:41 4734079.794 268322.208
11:25:43 4734080.070 268322.262
11:25:45 4734080.134 268322.196
11:25:47 4734080.046 268322.034
11:25:49 4734079.821 268322.322
11:25:51 4734077.067 268324.302
11:25:53 4734076.789 268324.316
11:25:55 4734076.823 268324.226
11:25:57 4734076.705 268324.062
11:25:59 4734076.468 268324.692
11:26:01 4734077.332 268324.698
11:26:03 4734074.221 268324.457
11:26:05 4734074.030 268324.633
11:26:07 4734071.282 268321.854
11:26:09 4734067.542 268324.689
11:26:11 4734068.485 268324.219
11:26:13 4734064.650 268326.208
11:26:15 4734064.277 268330.886
11:26:17 4734064.382 268333.281
11:26:19 4734067.554 268335.391
11:26:21 4734067.099 268337.926
11:26:23 4734070.470 268340.544
11:26:25 4734073.800 268342.522
11:26:27 4734073.084 268347.303
11:26:29 4734073.362 268349.157
11:26:31 4734072.609 268354.118
11:26:33 4734069.967 268358.287
11:26:35 4734069.466 268361.253
11:26:37 4734067.204 268365.185
11:26:39 4734066.398 268367.094
11:26:41 4734065.775 268371.877
11:26:43 4734062.869 268376.561
11:26:45 4734063.113 268378.505
11:26:47 4734059.409 268383.049
11:26:49 4734059.420 268387.330
11:26:51 4734055.883 268389.648
11:26:53 4734055.944 268394.295
11:26:55 4734052.833 268398.653
11:26:57 4734052.552 268403.335
11:26:59 4734049.583 268405.307
11:27:01 4734049.153 268409.847
11:27:03 4734045.904 268414.634
11:27:05 4734043.202 268416.934
11:27:07 4734043.222 268420.942
11:27:09 4734039.239 268425.522
11:27:11 4734039.372 268428.008
11:27:13 4734036.424 268432.122
11:27:15 4734032.707 268437.052
11:27:17 4734033.323 268438.940
11:27:19 4734029.518 268443.731
11:27:21 4734029.873 268447.887
11:27:23 4734026.141 268450.517
11:27:25 4734023.559 268454.757
11:27:27 4734023.103 268459.136
11:27:29 4734019.719 268461.528
11:27:31 4734019.884 268465.814
11:27:33 4734016.280 268470.133
11:27:35 4734012.965 268472.299
11:27:37 4734012.793 268477.439
11:27:39 4734010.374 268481.434
11:27:41 4734009.644 268483.846
11:27:43 4734006.642 268487.730
11:27:45 4734005.685 268493.254
11:27:47 4734003.883 268495.425
11:27:49 4734003.696 268499.153
11:27:51 4733999.408 268501.788
11:27:53 4733999.939 268506.200
11:27:55 4733996.562 268508.364
11:27:57 4733996.404 268513.095
11:27:59 4733993.493 268515.161
11:28:01 4733993.256 268517.635
11:28:03 4733990.302 268521.907
11:28:05 4733989.974 268524.333
11:28:07 4733986.954 268528.763
11:28:09 4733986.844 268531.105
11:28:11 4733983.768 268533.506
11:28:13 4733983.946 268537.406
11:28:15 4733979.882 268539.797
11:28:17 4733980.153 268541.856
11:28:19 4733976.586 268546.928
11:28:21 4733977.390 268548.731
11:28:23 4733976.639 268550.869
11:28:25 4733973.230 268555.832
11:28:27 4733973.862 268558.176
11:28:29 4733970.772 268560.076
11:28:31 4733970.252 268564.522
11:28:33 4733970.060 268566.588
11:28:35 4733966.540 268571.160
11:28:37 4733966.630 268574.010
11:28:39 4733964.263 268575.524
11:28:41 4733963.177 268580.292
11:28:43 4733963.424 268583.056
11:28:45 4733960.923 268584.885
11:28:47 4733960.354 268587.120
11:28:49 4733960.258 268589.052
11:28:51 4733959.718 268591.357
11:28:53 4733959.617 268596.204
11:28:55 4733959.947 268598.355
11:28:57 4733962.789 268600.181
11:28:59 4733965.042 268602.966
11:29:01 4733965.624 268603.122
11:29:03 4733968.812 268605.688
11:29:05 4733972.068 268608.051
11:29:07 4733975.048 268610.360
11:29:09 4733974.880 268612.608
11:29:11 4733977.946 268612.347
11:29:13 4733980.522 268612.888
11:29:15 4733984.289 268611.079
11:29:17 4733984.925 268605.909
11:29:19 4733984.125 268603.992
11:29:21 4733987.898 268599.200
11:29:23 4733987.483 268596.841
11:29:25 4733990.623 268592.551
11:29:27 4733990.982 268588.283
11:29:29 4733994.534 268585.510
11:29:31 4733993.851 268581.001
11:29:33 4733997.164 268577.036
11:29:35 4734001.066 268572.112
11:29:37 4734000.477 268569.428
11:29:39 4734003.167 268565.625
11:29:41 4734004.215 268561.083
11:29:43 4734007.345 268558.933
11:29:45 4734007.527 268554.408
11:29:47 4734007.703 268550.088
11:29:49 4734011.170 268547.995
11:29:51 4734014.525 268542.802
11:29:53 4734013.647 268538.583
11:29:55 4734017.306 268536.292
11:29:57 4734017.290 268531.237
11:29:59 4734019.821 268527.610
11:30:01 4734021.119 268522.963
